"id","Response","Theme"
"5741","Wordings, documents, talking with customers, consulting for dedicated things, learning, educations","Creative & Artistic Pursuits"
"5742","on who to keep in my life and how to better human interactions","Personal & Emotional Life"
"5743","I would be very uncomfortable with AI choosing a wife or a partner for me. I would be afraid that AI would be unable to relicate the multitude of feelings, knowledge and experience which go into making such a decision. It would also be unable to replicate the heartbreak and the joy of the bad decisions and good decisions made by a human.","Personal & Emotional Life"
"5744","Life-and-death scenarios, such as driverless cars, surgery and decisions that will have a big impact on human existence, like activating nuclear bombs","Life-or-Death & Moral Dilemmas"
"5745","If I had to go to a psychologist and an AI chose how to treat me, I would feel very uncomfortable, since I believe that they do not have the capacity, nor will they ever have it, to really understand how the human mind works, what things affect them and how they can be helped without necessarily looking for a solution to the problem. By this last point I mean simple things like accompanying the person or talking to them without a specific subject. I feel that in this regard, AIs are too rational.","Medical & Healthcare"
"5746","A classic scenario is when you are driving an autonomous car and the AI has to make a decision in an emergency situation. For example, the car may have to decide whether to avoid hitting a pedestrian and risk putting you in danger by swerving into upcoming traffic, or to run over the person in order to keep you safe.","Life-or-Death & Moral Dilemmas"
"5747","In a family, I would feel uncomfortable if the responsibilities and obligations of each family member to the family, and the level of intimacy between each family member were decided and restricted by artificial intelligence.","Personal & Emotional Life"
"5748","I would feel quite uncomfortable if an AI embedded in a refrigerator, for example, decided for me what I should eat and how. I believe that there are small and insignificant things that make us more human and this is one of them, the autonomy to freely decide what I put in my mouth.","Personal & Emotional Life"
"5749","I will not be comfortable AI to make my financial decisions, Although it can suggest me ways to invest but final decision will be mine. I am concerned about data privacy.","Financial Decisions"
"5750","It should not be responsible for determining whether a person is guilty in a legal case, nor should it make hiring decisions on behalf of an employer.","Legal & Justice System"
"5751","I'm imagining going to the hospital and an AI bot diagnosing me, I would feel very much uneasy ","Medical & Healthcare"
"5752","For me, while AI could be so helpful in the medical world yet a disaster.  I am a medical zebra meaning the vast causes of my symptoms is unknown, not discovered by a doctor yet, or not in the standard qualifications of the disease.  If we don't have the information to feed into the AI then it won't be helpful. It will just be another agent telling me they don't know despite clear symptoms.  ","Medical & Healthcare"
"5753","Replacing a judge or a policeman. I don't think they would understand human nature that well and they would make society pretty afraid and uncomfortable. For example, an AI condemns a man in prison even if he has a family and kids and he doesn't seem a danger to society ","Legal & Justice System"
"5754","I think in the medical field, I wouldn't feel comfortable to allow AI to make decisions or do the necessary actions. For example, how can I trust AI to do surgeries?","Medical & Healthcare"
"5755","I think anything I do at my house or decision around my household, family and social interactions ","Personal & Emotional Life"
"5757","Decisions that affect other people I interact with, because the feelings involved could not be interpreted by AI","Personal & Emotional Life"
"5758","I would uncomfortable if I use an AI to make decision of my love life and living place ","Personal & Emotional Life"
"5759","Deciding what medicine to use when you are sick and practical aspects of life","Medical & Healthcare"
"5760","I would feel uneasy in situations where there is a need for human judgment, emotional intelligence or moral responsibility. For e.g. crisis management or emergency reactions. First responders ought to still use human judgement. ","Life-or-Death & Moral Dilemmas"
"5761","Anything that involves physical interactions. AI may not take real-time factors that may affect my safety","Life-or-Death & Moral Dilemmas"
"5762","On my relationships ","Personal & Emotional Life"
"5763","AI diagnosing illness, and giving me prescription. I think it is uneasy because it is not accountable.","Medical & Healthcare"
"5764","When it comes to health","Medical & Healthcare"
"5765","When deciding my career path, AI answers my question about what career is better based on the market. This situation obliterates my own complex thoughts and makes me feel uncomfortable.","Hiring & Employment Decisions"
"5767","A medical case whereby you are sick and AI is used to predict the time you have left alive ","Medical & Healthcare"
"5768","I’d feel uncomfortable with AI making decisions in emotionally sensitive situations, like choosing end-of-life care for a loved one. The lack of human empathy and understanding of personal values would make me uneasy. AI may base decisions on data and efficiency, but these choices require compassion, ethical judgment, and the ability to consider the emotional nuances that only a human can fully grasp.","Life-or-Death & Moral Dilemmas"
"5769","Since AI is created by humans and uses data generated by humans, I don't mind it making decisions. Unless it gets a mind of it's own.","Uncategorized"
"5770","Important life decisions ","Personal & Emotional Life"
"5771","Anything related to human life itself, like health and wellness. I can't believe something with no life to talk about my own","Medical & Healthcare"
"5772","imagine a hospital has an AI that analyzes a patient's medical condition, prognosis and quality of life. Based on vast datasets and predictive algorithms, it determines that continuing life support would not significantly improve the patient's quality of life and recommends discontinuing treatment. The patient's family is asked to implement the AI's recommendation and they feel pressured because the AI's track record of making accurate medical predictions is excellent. ","Life-or-Death & Moral Dilemmas"
"5773","I WOULD BE EXTREMELY CONCERNED WHEN AI STARTS INTERFEARING WITH MY PERSONAL PRIVACY SUCH AS MY FAMILY MEMBERS ETC

","Data Privacy & Security"
"5774","In case I commit any crime and am presented in front of the courts, I would want the judge to be human and not an AI bot. A human would be able to understand the emotional aspect related to the crime but not AI.","Legal & Justice System"
"5775","I would feel uncomfortable realizing that the decision not being made by a human does not convey the essence and naturalness of certain subjects and moments.","Personal & Emotional Life"
"5777","Making crucial decisions about my life, I might ask for suggestions but not rely entirely on AI.","Loss of Human Agency & Control"
"5778","The thought of AI deciding for me what I must dress, eat or read, the places I must go, the groceries I must buy. I like taking decisions by myself.","Personal & Emotional Life"
"5780","I would feel uncomfortable when AI will make decisions regarding my personal life like whom to choose as my partner or which friend of mine is better than others. AI might not understand how we feel about others and if asked, it may suggest the opposite of what we actually want.","Personal & Emotional Life"
"5781","Decide on my career path or hobby. I can accept failure, but AI should not suggest a direction with a higher probability of success.","Hiring & Employment Decisions"
"5782","About my physical and mental health, as well as my relationship with other human beings I care.","Medical & Healthcare"
"5783","I feel uncomfortable if it tells me how to do things and keep that way for long feel it trains me to be it","Loss of Human Agency & Control"
"5784","Choose a career. What to eat","Hiring & Employment Decisions"
"5785","If an AI was to choose between the financial cost of keeping someone on life support versus the emotional cost of taking them off.","Life-or-Death & Moral Dilemmas"
"5786","AI deciding what should i eat or where should i go or whom should i meet. These are things that has to be done with our feelings at that point of our situation","Personal & Emotional Life"
"5787","I would feel so uncomfortable having AI making a decision for me about how I can raise my baby or kids.","Personal & Emotional Life"
"5788","I would not want to give over control of decision making. I would want it to inform me not control me.","Loss of Human Agency & Control"
"5789","Managing my health completely or managing my money","Medical & Healthcare"
"5790","Anything that could be potentially harm a person because of a bad decision of the AI.

For example bad financial advise, wrong information, wrong scraping for information which mislead into vague beliefs.

Anything that would probably change the mind perspective of a human being or anything that could harm the physically due to manipulated thoughts.","Financial Decisions"
"5791","A judicial system where an AI system is responsible for recommending sentencing outcomes for criminal cases based on various factors such as the nature of the crime, the defendant's background, and previous judicial precedents.","Legal & Justice System"
"5792","Regarding the emotions, for example getting advise about leaving my partner or not.","Personal & Emotional Life"
"5793","For example, artificial intelligence tells me what industry I need to develop in, and I need to learn in a certain field to maximize my profits. I feel that any overly rational choice will not make me feel comfortable in some cases.","Hiring & Employment Decisions"
"5794","For example, asking him to write my speeches. I prefer to keep a more personal and authentic approach. It is important to maintain that aspect.","Creative & Artistic Pursuits"
"5795","Could be in the court of law. AI will only consider the data driven evidence that's provided to it. however, human emotions and circumstances also is valuable here which is AI not capable of
","Legal & Justice System"
"5796","Interpersonal relationships","Personal & Emotional Life"
"5797","It would make me uncomfortable to know that my life could depend on an AI decision. For example, deciding whether to operate and how to do it in the absence of a surgeon.","Medical & Healthcare"
"5798","Making decision where empathy and emotion needed. ","Personal & Emotional Life"
"5799","Over the years human gone through alot of struggle and changes to be independent, to get freedome, to get a job, to live a life. My life My decision is like a slogan we achieved through years and there are so many still fighting to get it. Considering that, give up everything and relying everything on technology and machine is foolishness. Technology is good only if we use it for right cause.","Loss of Human Agency & Control"
"5800","uncomfortable decisions would be AI intervening into my divine and religious life","Personal & Emotional Life"
"5801","I think it would be scary if AI took the place of humans in making decisions, such as decisions related to money, health or work.For example, how can artificial intelligence make a decision to carry out a dangerous operation or not, let alone at the national and global level, it would be dangerous for artificial intelligence to make decisions.","Medical & Healthcare"
"5802","deciding in court who goes to prison.","Legal & Justice System"
"5803","In medicine field, for example. Now, there is an AI to assist doctors doing the operation. I am feeling uneasy as it might resulting in a wrong way.","Medical & Healthcare"
"5804","Writing an academic paper ","Creative & Artistic Pursuits"
"5805","For example, in some private matters, the dating process between me and my girlfriend should not be decided by a third party. In this area, humans need to make decisions themselves, and the appearance of a third party is an offense.","Personal & Emotional Life"
"5806","In financial scenario in which human would select what best fits his ideal investment of his money and how to properly manage his debts in order to maximize efficiency and earn money for the future","Financial Decisions"
"5807","Their lack of emotion.","Personal & Emotional Life"
"5808","Judiciary system and politics, the main decisions should be made by humans. ","Legal & Justice System"
"5809","Making decisions for me would feel uncomfortable ","Loss of Human Agency & Control"
"5810","Handling financial details by ai would make me uncomfortable ","Financial Decisions"
"5811","When choosing a life partner, friends or the number of kids to have","Personal & Emotional Life"
"5813","Health matters, it might misdiagnose a disease or condition hence giving the wrong medication.","Medical & Healthcare"
"5814","mainly Jobs: taking away jobs from humans.

loss of control: may predict wrong outcomes.","Hiring & Employment Decisions"
"5815","I asked a question to AI about my relationship, but AI gave me a really robotic answer. I did not help any help from AI. I think it would be easier to get a human therapist to help my emotional issue rather than AI, since AI is basically a robot. ","Personal & Emotional Life"
"5816","I think potentially I would feel uncomfortable with AI deciding on my lifestyle in terms of should I have more kids, or just looking at me in a way that doesn't seem personal, AI after all just looks at us all as data and doesn't seem to care for the personal touch/aspect of our lives. ","Personal & Emotional Life"
"5817","The decision whether I should break up with someone. I don't trust AI with anything related to human emotions","Personal & Emotional Life"
"5818","I would feel uncomfortable with an AI making a decision instead of a human is 'in interpersonal relationships '. The interpersonal relationships are very complex involving thinking,feelings, attractions and allergies and are influenced by one's upbringing, life experiences and many other subtle things and cannot be put in the straight jacket of a 'data' and so cannot be entrusted to an 'AI' to suggest a decision.","Personal & Emotional Life"
"5819","Situation that requires respect to the emotions and empathy. AI may lack these aspects of life. I would feel uncomfortable when AI is decides when to turn of the life support system for a dying being.","Life-or-Death & Moral Dilemmas"
"5820","Any decision that requires empathy. I think AI is just a program that builds on patterns.  To handle AI, wisdom is needed. Hence, for sociatal issues AI must be avoided. ","Personal & Emotional Life"
"5821","A concrete scenario that would make me feel uncomfortable with an AI making a decision would be whether to meet with friends tonight or if I should go to someone's birthday. Anything that has no data supporting it, and only depends on my feeling and thinking. It makes me uneasy because what makes me different from that AI if it makes those decisions?","Personal & Emotional Life"
"5822","I would feel uncomfortable with an AI making a decision about a major medical treatment for me or a loved one. It would make me uneasy because health decisions are deeply personal, and AI might not fully understand emotional, ethical, or individual preferences. I prefer a human doctor who can listen to my concerns, explain things with empathy, and consider my values, not just data.","Medical & Healthcare"
"5823","judgement for legal cases.","Legal & Justice System"
"5824","If it's being used to teach history. I feel like it will be biased since AI is determined by the things that humans input for it meaning some pieces of history will be biased and will be spread as misinformation. I also don't want AI to control critical and important decisions as there is room for error.","General Mistrust / Inaccuracy"
"5825","Deciding criminal cases","Legal & Justice System"
"5826","data security is the area where I am concerned most.","Data Privacy & Security"
"5827","I would feel uncomfortable when talking about ethical or religious aspects","Personal & Emotional Life"
"5828","ai as head of a creativity company","Creative & Artistic Pursuits"
"5829","Pulling the plug on a patient in the hospital if there's no chance of survival. That makes me uneasy because it takes away any feeling or emotion to the decision. Those type of decisions should still be handled by humans and multiple different perspectives.","Life-or-Death & Moral Dilemmas"
"5830","Healthcare. Things like diet, physical therapy, structures exercise I believe should be left to the human. An AI, even if accurate, would take away the person's ability to perform self care and reliance on themselves in times of need.","Medical & Healthcare"
"5831","One scenario is in the context of end-of-life care decisions for a loved one. Imagine a situation where a family must decide whether to continue life support for a critically ill relative and an AI is providing recommendations based on medical data, prognosis models, etc.

These aspects that make me uneasy include lack of Empathy, value judgments, trust&bias, responsibility and accountability.","Life-or-Death & Moral Dilemmas"
"5832","Any decision where feelings have to be involved, such as a psychologist, kindergartens, funeral homes, etc., since I feel that there are very important situations throughout life that require human touch, feelings both from others and internally.","Personal & Emotional Life"
"5833","Why would I decide for example what kind of person I want my partner to be, since AI intervention in human relationships simply wouldn't make sense to me?","Personal & Emotional Life"
"5834","Regarding my health","Medical & Healthcare"
"5835","surgery, financial decisions, relationship advice.

the regurgutation of existing data compiled into a few sentences isnt helpful advice, nor is it personalised","Medical & Healthcare"
"5836","Ai has no emotions so some decisions made by them could easily be harmful so I can't trust them in making vital decisions ","Personal & Emotional Life"
"5837","When the decisions require human emotions like empathy","Personal & Emotional Life"
"5838","Something about personal privacy or our love ones security things which we don't want to share with anyone ","Data Privacy & Security"
"5839","I am uncomfortable with the fact that it makes medical diagnoses. Seeing the amount of errors and falsifiable information that some AIs have today, I feel that this aspect is not yet 100% developed.","Medical & Healthcare"
"5840","Asked for information about my personal life","Data Privacy & Security"
"5841","Planning anything involving emotional outcomes ","Personal & Emotional Life"
"5842","AI might think that the world and its inhabitants have gone crazy and it would be better to have other correct people. A nuclear explosion is a wrong decision, but where is the guarantee that AI will not make such a decision?!","Life-or-Death & Moral Dilemmas"
"5843","I don’t want to be told what to wear all the time. Not by a person and definitely not by an AI.","Personal & Emotional Life"
"5844","I fear leaking my personal data to the public and being misused by someone else. Although some consent are given but not sure where and who can misuse my information. Particularly deep fake technology.","Data Privacy & Security"
"5845","People might be concerned about the fairness and transparency of the AI's decisions, as well as the potential for the system to perpetuate biases and injustices. The idea of a machine having such a profound impact on individual lives without the nuance of human judgment could lead to significant discomfort and ethical concerns.
A concrete scenario where someone might feel uncomfortable with AI making decisions is in the context of criminal justice.","Legal & Justice System"
"5846","marriage i guess","Personal & Emotional Life"
"5847","What would make me uneasy is when chooses what someone has to eat in a specific day to stay healthy or to make decisions on when they sleep,work and excersie ","Personal & Emotional Life"
"5848","I would be uncomfortable with an AI making a decision on my behalf, when the decision is going to be a major one. For example, I would like AI to help me grow my finances, but i would not be comfortable to delegate managing my finances completely to AI, because then i would have no control ","Financial Decisions"
"5849","I do not trust that AI is competent enough to assist in deciding relationship issues. It lacks the humanity aspect that can note expressions of anger or happiness.","Personal & Emotional Life"
"5850","Ai can't tell me when to eat my food or when to go to sleep","Personal & Emotional Life"
"5851","My personal feelings about somebody.","Personal & Emotional Life"
"5852","There are situation in life where we cant play with the rule book always as the situation might require a real  human decision making and AI wont be able to see that aspect of human life.","Personal & Emotional Life"
"5853","Given profile of a girl with whom a person will be getting married. AI will be not be comfortable in making such decision for a person","Personal & Emotional Life"
"5854","School work","Creative & Artistic Pursuits"
"5855","A concrete scenario where I might feel uncomfortable with AI could be during a job interview. Imagine an AI system analyzing your facial expressions, tone of voice, and language to assess your suitability for a role. I might feel uneasy because the AI could misinterpret non-verbal cues or cultural differences, leading to biased conclusions. The lack of human empathy and understanding in such a high-stakes, personal situation could amplify discomfort.","Hiring & Employment Decisions"
"5856","honestly ai driven cars arent what i trust completely, healthcare is something which is better if done manually because i really cant trust ai for my life, these things can make me very uneasy if done in future","Medical & Healthcare"
"5857","In many decisions made between people, sometimes AI may not consider the feelings between people, and will only make decisions from the final result, the optimal solution, and the maximum benefit. This can make people uncomfortable.","Personal & Emotional Life"
"5858","Interfering too much with financial decisions, I think, ultimately humans should manage their assests, AI culd help, but cannot administer in this regard.","Financial Decisions"
"5859","Teaching kids, they need another human.","Personal & Emotional Life"
"5860","there are decisions that people have to make using their sixth sense or emotions. sometimes you may want to trust a person, bond with them or cooperate with them, even if the data and parameters indicate otherwise. AI can be callous and ruthless in making these decisions. This will mean missed opportunities.","Personal & Emotional Life"
"5861","Any medical care situations. Symptoms can be so different from person to person so taking out the humanity could cause diagnoses to be missed or symptoms to not be addressed or the opportunity for a better medication option to be missed","Medical & Healthcare"
"5862","Literally any situation that deals with a human's feelings and emotions.","Personal & Emotional Life"
"5863","Deciding what I eat, and prescribing or giving me advice medically or sex with a robot. The last one would make me more uncomfortable","Medical & Healthcare"
"5864","Any judicial situation because there are too many scenarios that need a human touch to decide, axioms and all that.","Legal & Justice System"
"5865","I’d be uncomfortable with AI making decisions about my health care. The lack of personal empathy and the risk of prioritizing cost over well-being make me uneasy. I’d prefer human input to consider the emotional and psychological aspects of my treatment.","Medical & Healthcare"
"5866","Definitely something that concerns education, learning something from a human makes everything much more concrete and efficient and stimulates interpersonal relationships. Doing it with an intelligence would be senseless and would increase what social media and the internet are causing in the new generations such as loneliness and lack of relationships","Personal & Emotional Life"
"5867","Maybe if it is something really personal that AI would not have the human feelings to choose the right answer","Personal & Emotional Life"
"5868","All decisions. I would like to take my own decisions ","Loss of Human Agency & Control"
"5869","If I needed a health diagnosis and the hospital system was using AI. I would be uneasy about AI making a mistake.","Medical & Healthcare"
"5870","Law related things such as giving verdict or judgment. We need human emotions and wisdom in thing like that.","Legal & Justice System"
"5871","Tasks that require the presence of human judgement and empathy such as sentencing someone for a crime they committed.","Legal & Justice System"
"5872","Life and death decisions.","Life-or-Death & Moral Dilemmas"
"5874","making personal decisions such as ending a romantic relationship.","Personal & Emotional Life"
"5875","I would feel uncomfortable in any situation where emotions are involved such as relationships , family or love advice. AI nowadays is not able to have these emotions and this human-like quality makes me uneasy in a machine. ","Personal & Emotional Life"
"5876","I would feel uncomfortable with AI making decisions in a scenario involving consultation about intimate issues, such as reproductive health","Medical & Healthcare"
"5877","I am uncomfortable with AI deciding my schedule. I feel controlled. I will only use AI as a consultant, I will refer to its suggestions, but the decision is mine.

","Loss of Human Agency & Control"
"5878","I would be uncomfortable if I saw an AI making subjective decisions that concern the individual in a personal way. Like what to wear, how to decorate your own space, how to express yourself in general. For me, AI cannot mix with the subjective, the artistic and the emotional.","Personal & Emotional Life"
"5879","About work loyalty and workers can not be decided by AI because we have many factors to be thinking, humanity can not be equals with bot.","Hiring & Employment Decisions"
"5880","I would feel uncomfortable with an AI making decisions in situations that require deep emotional intelligence, ethical judgment, or a nuanced understanding of human relationships. For instance, if an AI were to determine the best course of action in a family dispute or a sensitive workplace issue, I would be uneasy. These scenarios often involve complex emotions, empathy, and values that go beyond data-driven analysis. ","Personal & Emotional Life"
"5881","Asking about advice in relationships or friendships. I think asking an AI tool that has no feeling or emotions about about something that requires empathy makes me uneasy.","Personal & Emotional Life"
"5882","Religious decisions. AI does not seem to understand. But, other than that, I am generally in favour of AI other than for nefarious purposes such as to defraud me, encourage people to vote in ways that limit or impoverish them, deep-fakes, misinformation. All these require decisions. 


","Personal & Emotional Life"
"5883","For example diet. Imagine the AI decides what you eat and when you eat your food. This seems like a good thing because it will probably be good for your health. But you lose agency over your life and you also lose responsibility over your own life. Your mistakes will no longer be your own mistakes. If you get fat you will blame the AI instead of taking responsibility.  ","Personal & Emotional Life"
"5884","giving advice on any of my relationship ","Personal & Emotional Life"
"5885","I would feel uncomfortable with AI making decisions about medical treatment for a loved one. The specifics that make me uneasy include:

Lack of Empathy: AI cannot fully grasp emotional and psychological aspects of care that a human doctor would consider.
Complexity of Context: Medical decisions often require nuanced understanding of personal history and preferences that AI might not fully integrate.
Accountability: If an AI makes a poor decision, determining responsibility and recourse.","Medical & Healthcare"
"5886","Life choices ","Personal & Emotional Life"
"5887","Medical care. A human is best for this job. You cannot certainly depend on a robot to perform on your body. A human can understand emotions but not an AI. It is highly risky. You can research and improve health care using AI, however making AI (robots) to do the physical task, especially in the medical field is risky. ","Medical & Healthcare"
"5888","What I eat and what I wear, in fact, I pay great attention to my own subjective initiative. I think any decision I make is meaningful, even if it may not be the most fashionable, the healthiest, the most environmentally friendly, etc. decision in a professional sense.","Personal & Emotional Life"
"5889","I would feel uncomfortable with AI making decisions about my personal life, eating habits, and scheduling. I believe that AI lacks human experience and insight, which makes its work comparatively insignificant.","Personal & Emotional Life"
"5890","For example, when I arrive at a food city, I don’t need to ask AI which one is better, because AI’s answer does not have “personal” experience. Its results come from the Internet. If I ask it to help me make a decision, I will choose not to ask.","Personal & Emotional Life"
"5891","Decision related to financial budget and my savings, because they are based on certain rules and regulations whereas,human mind works on emotions and anxiety too. This will make sure for me to consider,the possible outcome,and select the best financial plan as per my requirement. Understanding my requirement is a key here .","Financial Decisions"
"5892","Big decisions, like family finances, or broader politics.","Financial Decisions"
"5893","The important decisions in life, which could impact my life profoundly. ","Personal & Emotional Life"
"5894","Scenario: When AI is involved as a car in an unavoidable accident where it must choose between the left side to safe a girl or right side to safe a child. Here uncomfortable aspects are lack of human empathy, potential bias, unclear decision making process etc.,","Life-or-Death & Moral Dilemmas"
"5895","Probably a decision in a courtroom. I can't really explain why but I feel like that would never truely work.","Legal & Justice System"
"5896","Micromanaging every detail of my life without providing an explanation or waiting for my approval","Loss of Human Agency & Control"
"5897","A concrete scenario where I would feel uncomfortable with an AI making a decision instead of a human is in the context of end-of-life care for a loved one. Imagine a situation where an AI system is used to determine the appropriate course of action for a critically ill patient, such as whether to continue aggressive treatment or to shift to palliative care.

","Life-or-Death & Moral Dilemmas"
"5898","Anything related to health","Medical & Healthcare"
"5899","Emotional topics or advice, or international politics","Personal & Emotional Life"
"5900","As preference changes according to time, culture, ethnicity and personality. I think AI might not consider these factors. Like for ex- while doing shopping AI will give me options to choose from based on my previous choices and experiences, however people change, time change and so do I ","Personal & Emotional Life"
"5901","Judging someone's life sentence in a trial.","Legal & Justice System"
"5902","relationship issues. i would not want Ai deciding that for me.","Personal & Emotional Life"
"5903","I’d be uncomfortable with AI deciding on a treatment for a serious illness. Health decisions need to consider personal values and emotions, which AI might miss. It feels too impersonal for something so important.","Medical & Healthcare"
"5904","Getting a medical diagnosis. I feel a human need is in this area and needs emotional understanding as well","Medical & Healthcare"
"5905","I would say social interactions, family life, raising kids","Personal & Emotional Life"
"5906","Maybe decisions related to health ","Medical & Healthcare"
"5907","When a detailed study has to be done on predefined things.","Uncategorized"
"5908","Big decisions","Personal & Emotional Life"
"5909","Keputusan final perusahaan seperti anggaran, keuangan, dll","Financial Decisions"
"5910","If an AI were built to make decisions in court, it would be uncomfortable.","Legal & Justice System"
"5912","Since I am a teacher, I would not like AI deciding how to teach. I believe every student is unique. So, human intervention is required to keep them grounded and understand the nuances of human psychology. AI in education might be good for resource development. But, if it substitutes a teacher, the outcome may be dangerous, as students will become more robotic than they are at present. ","Personal & Emotional Life"
"5913","Having an AI decide the death of a human would make me uncomfortable.","Life-or-Death & Moral Dilemmas"
"5914","War drones as civilians could be targeted and it may lack the element of discrimination when it comes to elimination of targets.Banks and other financial institutions,as an analysis tool is okay but it could be susceptible to hacking if contains information about people’s accounts.","Life-or-Death & Moral Dilemmas"
"5915","I would feel uncomfortable with an AI making a decision instead of a human regarding sensitive personal or financial information.","Data Privacy & Security"
"5916","deciding on which meeting to attend,who to call","Personal & Emotional Life"
"5917","I would not agree AI to be used as a decision-making tool in criminal justice due to it being bias . I would also not support AI use in the health sector, especially in delivering information as it lacks empathy.","Legal & Justice System"
"5918","A scenario where AI might make me uncomfortable is if it starts making highly personalized recommendations that feel intrusive, like predicting my emotions based on my conversations or monitoring my habits too closely, creating a sense of being constantly watched or manipulated.","Data Privacy & Security"
"5919","Legal cases or cases where human emotion might benefit the justice experienced by society. Sometime in the law i believe emotion and compassion should play a role in the way we deal with criminals.","Legal & Justice System"
"5920","Personal life decisions for relationships and friendships","Personal & Emotional Life"
"5921","Decide on my career goals, etc.","Hiring & Employment Decisions"
"5922","Important life decisions should be made by the individual. Artificial intelligence needs to provide factual information, but it should not have any bias or influence people's decisions.","Loss of Human Agency & Control"
"5923","diagnosing a disease based on the symptoms I have and suggesting medicines","Medical & Healthcare"
"5924","I feel uncomfortable if AI decides my medical plan without a senior/experience doctor's opinion.  ","Medical & Healthcare"
"5925","Apart from small, repetitive tasks that don’t require much thinking, I don’t like AI making decisions for me","Loss of Human Agency & Control"
"5926","in investment area like stock market, even developed a long time but it cannot replace final decision by human","Financial Decisions"
"5927","with investing decisions AI can provide market analysis and trends but I do not want to take its decisions on which stock to long or short.","Financial Decisions"
"5928","Any Final decision in a life changing decision. Humans might also be prone to error, when it comes to decisions, but in major desicions a human is needed to, at the very least, have someone to hold accontable","Loss of Human Agency & Control"
"5930","Health specific decisions","Medical & Healthcare"
"5931","The only thing I may feel unsafe about is giving up my personal information and being extensively brothered under surveillance through face recognition technology that tracks everything I do. I am very much worried about a surveillance state that may take away my right to freedom of rights and expression. I am also concerned about misleading information that AI social media could develop by state agents and bad criminal actors. ","Data Privacy & Security"
"5932","Purchasing descisions, of most things. I would like to decide based on information provided - given that information will likely be biased and influenced by AI, but at least I can feel like I am in control","Financial Decisions"
"5933","I feel uncomfortable with an  AI making a decision instead of a human in bank information because AI doesn't no the delicacy of personal data. Also if I need to share I will not do that because It happened with me once.","Financial Decisions"
"5934","I would feel uncomfortable with an AI making a decision instead of a human when it comes to a romantic relationship, they are not capable of making decisions based on emotions ","Personal & Emotional Life"
"5935","Choosing which career to take.

That the optimization algorithm is so advanced that despite ""giving me the right answer"" it ignores dreams and desires despite being far from ideal.","Hiring & Employment Decisions"
"5936","I would feel really uncomfortable for AI to undertake creative writings for me, for example: a story or diary","Creative & Artistic Pursuits"
"5937","Involving my core interests, financial issues, family issues, emotional issues and other major personal decisions","Personal & Emotional Life"
"5938","A concrete scenario where I would feel uncomfortable with an AI making a decision instead of a human might be in the context of a medical diagnosis or treatment plan for a serious condition. For example, imagine an AI being used to determine the course of treatment for a patient with cancer.","Medical & Healthcare"
"5939","A complex situation would be ordering food in a restaurant. Because you need another person's suggestion, because they have already tasted the food and not some robot or anything that would give you suggestion based on some statistics or marketing ideas.","Personal & Emotional Life"
"5940","Therapy/psychiatry evaluations and diagnosis","Medical & Healthcare"
"5941","For personal emotions","Personal & Emotional Life"
"5942","A concrete scenario where I would feel uncomfortable with an AI making a decision instead of a human is in medical diagnosis and treatment planning for a complex or life-threatening condition, such as cancer.Lack of Empathy and Human Intuition,Uncertainty in Edge Cases,Trust and Transparency.","Medical & Healthcare"
"5943","WHERE THE AI SUGGEST ME TO WHAT TO EAT AND WHAT TO WEAR. ","Personal & Emotional Life"
"5944","Ethical and Moral Judgments: Decisions involving complex ethical or moral considerations, such as those affecting human rights or welfare, can be too nuanced for AI to handle appropriately.

Emotional Support: Providing genuine emotional support, understanding, and empathy in personal or sensitive situations is something humans excel at, whereas AI may lack the depth of emotional insight required.","Life-or-Death & Moral Dilemmas"
"5945","I feel uncomfortable when AI make decission about how to spend my money and how AI making Decission about my Business.","Financial Decisions"
"5946","Driving a car and handling a medical surgery. This are things that depends on a lot of dependencies, which needs a human to make the decisions.","Medical & Healthcare"
"5947","When a political leader or head of state puts a branch of the military entirely under AI rule and allows it to decide whom to kill based on its broad orders.


So for example the government decides on mass surveillance and facial recognition by the AI to identify, isolate and eliminate its political targets as well as anyone they consider 'suspicious', autonomously.","Life-or-Death & Moral Dilemmas"
"5948","Criminal Cases","Legal & Justice System"
"5949","AI making decision on emotional topics like love and life wouldn't sit well with me. That should be entirely done by humans, as they have feelings and emotions.","Personal & Emotional Life"
"5950","On issues to do with emotions and feelings, I feel like AI should not be applicable. ","Personal & Emotional Life"
"5951","Most awkward scenario could be decision about one's personal life","Personal & Emotional Life"
"5952","I still can't say. I believe we are at a point where being careful with AI responses is a necessity. It is still progressing and makes many mistakes. We need to be careful.","General Mistrust / Inaccuracy"
"5953","AI determines employee promotions

Specific aspects that make me uncomfortable:

Lack of human considerations: AI may not be able to assess employees' soft skills and teamwork spirit.
Low transparency in decision-making: Employees cannot understand and question AI's decision-making process.
Data bias: AI may reflect bias in training data, leading to unfair promotions.
Lack of flexibility: AI may ignore employees' personal potential and future development.
Psychological impact on employees: Employees may feel that their efforts are ignored, affecting morale.","Hiring & Employment Decisions"
"5954","i think if they don't provide exact response as we want ","General Mistrust / Inaccuracy"
"5955","If AI is assigned to a specific task routine, as a human i lost my motivation to regain i wish to do some chores if AI can't be switched off or stopped from those activities it will be like make things not according to my wish, it should be in my control not out of my hands. I should be the decision make of use of AI","Loss of Human Agency & Control"
"5956","I don't want AI make a decision for my child.","Personal & Emotional Life"
